# Phase 1P compact 54 MHz setup-path diagnostic
# corner	slack_ns	classification	launch_clock	source_node	latch_clock	destination_node
Slow 1100mV 100C Model	1.490	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[7]_OTERM9_OTERM8373
Slow 1100mV 100C Model	1.490	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[7]_OTERM9_OTERM8365
Slow 1100mV 100C Model	1.490	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[5]_OTERM18
Slow 1100mV 100C Model	1.490	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[7]_OTERM7
Slow 1100mV 100C Model	1.490	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[6]_OTERM15
Slow 1100mV 100C Model	1.494	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[3]_OTERM24
Slow 1100mV 100C Model	1.495	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[2]_OTERM27
Slow 1100mV 100C Model	1.495	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[4]_OTERM21
Slow 1100mV 100C Model	1.858	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_p_motion_residual_raster_engine:mixed_probe|mbi[2]	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_p_motion_residual_raster_engine:mixed_probe|out_reg[7]_OTERM106_OTERM10365_OTERM10578
Slow 1100mV 100C Model	1.917	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|Add2~29_OTERM11216	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|shared_addr_reg~32_OTERM11286
Slow 1100mV 100C Model	1.930	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[7]_OTERM9_OTERM8371
Slow 1100mV 100C Model	1.930	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[7]_OTERM9_OTERM8367
Slow 1100mV 100C Model	1.930	54->54	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|selected_luma_mvx[0]~64_OTERM10542	emu|pll|pll_inst|altera_pll_i|general[2].gpll~PLL_OUTPUT_COUNTER|divclk	emu:emu|mpeg2_h262_reference_read_probe:mpeg2_h262_reference_read_probe|mpeg2_h262_b_bidirectional_raster_engine:b_probe|out_reg[7]_OTERM5
